Timestamp,X,Y,Z
[1.72615805e+09],-9.14,-0.37,3.58
[1.72615805e+09],-9.14,-0.35,3.59
[1.72615805e+09],-9.12,-0.35,3.58
[1.72615805e+09],-9.12,-0.37,3.56
[1.72615805e+09],-9.14,-0.35,3.59
[1.72615805e+09],-9.12,-0.39,3.61
[1.72615805e+09],-9.14,-0.37,3.59
[1.72615805e+09],-9.16,-0.37,3.52
[1.72615805e+09],-9.14,-0.41,3.53
[1.72615805e+09],-9.15,-0.39,3.6
[1.72615805e+09],-9.15,-0.41,3.58
[1.72615805e+09],-9.14,-0.43,3.54
[1.72615805e+09],-9.16,-0.46,3.59
[1.72615805e+09],-9.12,-0.43,3.54
[1.72615805e+09],-9.16,-0.45,3.49
[1.72615805e+09],-9.13,-0.43,3.59
[1.72615805e+09],-9.18,-0.38,3.81
[1.72615805e+09],-9.2,-0.4,3.63
[1.72615805e+09],-9.2,-0.37,3.48
[1.72615805e+09],-9.15,-0.39,3.52
[1.72615805e+09],-9.17,-0.35,3.47
[1.72615805e+09],-9.19,-0.37,3.46
[1.72615805e+09],-9.16,-0.44,3.48
[1.72615805e+09],-9.16,-0.42,3.46
[1.72615805e+09],-9.16,-0.46,3.48
[1.72615805e+09],-9.15,-0.46,3.52
[1.72615805e+09],-9.19,-0.49,3.52
[1.72615805e+09],-9.14,-0.48,3.53
[1.72615805e+09],-9.12,-0.41,3.52
[1.72615805e+09],-9.11,-0.38,3.53
[1.72615805e+09],-9.11,-0.37,3.52
[1.72615805e+09],-9.1,-0.35,3.55
[1.72615805e+09],-9.12,-0.39,3.54
[1.72615805e+09],-9.12,-0.34,3.55
[1.72615805e+09],-9.14,-0.37,3.55
[1.72615805e+09],-9.13,-0.38,3.53
[1.72615805e+09],-9.13,-0.37,3.55
[1.72615805e+09],-9.17,-0.39,3.57
[1.72615805e+09],-9.13,-0.4,3.6
[1.72615805e+09],-9.15,-0.45,3.56
[1.72615805e+09],-9.14,-0.48,3.64
[1.72615805e+09],-9.14,-0.44,3.58
[1.72615805e+09],-9.13,-0.45,3.61
[1.72615805e+09],-9.15,-0.46,3.58
[1.72615805e+09],-9.11,-0.43,3.6
[1.72615805e+09],-9.15,-0.45,3.55
[1.72615805e+09],-9.13,-0.47,3.58
[1.72615805e+09],-9.15,-0.41,3.56
[1.72615805e+09],-9.08,-0.48,3.82
[1.72615805e+09],-9.12,-0.45,3.65
[1.72615805e+09],-9.15,-0.41,3.59
[1.72615805e+09],-9.12,-0.43,3.59
[1.72615805e+09],-9.14,-0.4,3.62
[1.72615805e+09],-9.16,-0.39,3.56
[1.72615805e+09],-9.13,-0.42,3.59
[1.72615805e+09],-9.13,-0.43,3.63
[1.72615805e+09],-9.16,-0.34,3.51
[1.72615805e+09],-9.14,-0.34,3.44
[1.72615805e+09],-9.16,-0.34,3.42
