Timestamp,ECG
[1.7261803e+09],[319.]
[1.7261803e+09],[294.]
[1.7261803e+09],[232.]
[1.7261803e+09],[135.]
[1.7261803e+09],[27.]
[1.7261803e+09],[-62.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-197.]
[1.7261803e+09],[-243.]
[1.7261803e+09],[-264.]
[1.7261803e+09],[-273.]
[1.7261803e+09],[-266.]
[1.7261803e+09],[-255.]
[1.7261803e+09],[-266.]
[1.7261803e+09],[-303.]
[1.7261803e+09],[-308.]
[1.7261803e+09],[-262.]
[1.7261803e+09],[-229.]
[1.7261803e+09],[-218.]
[1.7261803e+09],[-200.]
[1.7261803e+09],[-181.]
[1.7261803e+09],[-163.]
[1.7261803e+09],[-151.]
[1.7261803e+09],[-137.]
[1.7261803e+09],[-121.]
[1.7261803e+09],[-121.]
[1.7261803e+09],[-163.]
[1.7261803e+09],[-186.]
[1.7261803e+09],[-151.]
[1.7261803e+09],[-128.]
[1.7261803e+09],[-137.]
[1.7261803e+09],[-128.]
[1.7261803e+09],[-121.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-121.]
[1.7261803e+09],[-112.]
[1.7261803e+09],[-121.]
[1.7261803e+09],[-135.]
[1.7261803e+09],[-174.]
[1.7261803e+09],[-204.]
[1.7261803e+09],[-181.]
[1.7261803e+09],[-154.]
[1.7261803e+09],[-147.]
[1.7261803e+09],[-137.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-119.]
[1.7261803e+09],[-108.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-96.]
[1.7261803e+09],[-89.]
[1.7261803e+09],[-87.]
[1.7261803e+09],[-82.]
[1.7261803e+09],[-73.]
[1.7261803e+09],[-71.]
[1.7261803e+09],[-66.]
[1.7261803e+09],[-57.]
[1.7261803e+09],[-62.]
[1.7261803e+09],[-68.]
[1.7261803e+09],[-55.]
[1.7261803e+09],[-41.]
[1.7261803e+09],[-48.]
[1.7261803e+09],[-75.]
[1.7261803e+09],[-101.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-73.]
[1.7261803e+09],[-68.]
[1.7261803e+09],[-71.]
[1.7261803e+09],[-66.]
[1.7261803e+09],[-64.]
[1.7261803e+09],[-64.]
[1.7261803e+09],[-48.]
[1.7261803e+09],[-32.]
[1.7261803e+09],[-27.]
[1.7261803e+09],[-16.]
[1.7261803e+09],[-6.]
[1.7261803e+09],[-4.]
[1.7261803e+09],[-4.]
[1.7261803e+09],[-9.]
[1.7261803e+09],[-13.]
[1.7261803e+09],[-27.]
[1.7261803e+09],[-50.]
[1.7261803e+09],[-50.]
[1.7261803e+09],[-29.]
[1.7261803e+09],[-27.]
[1.7261803e+09],[-57.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-98.]
[1.7261803e+09],[-71.]
[1.7261803e+09],[-64.]
[1.7261803e+09],[-68.]
[1.7261803e+09],[-121.]
[1.7261803e+09],[-82.]
[1.7261803e+09],[-64.]
[1.7261803e+09],[-52.]
[1.7261803e+09],[-39.]
[1.7261803e+09],[-22.]
[1.7261803e+09],[0.]
[1.7261803e+09],[18.]
[1.7261803e+09],[34.]
[1.7261803e+09],[45.]
[1.7261803e+09],[57.]
[1.7261803e+09],[75.]
[1.7261803e+09],[101.]
[1.7261803e+09],[133.]
[1.7261803e+09],[170.]
[1.7261803e+09],[206.]
[1.7261803e+09],[239.]
[1.7261803e+09],[278.]
[1.7261803e+09],[319.]
[1.7261803e+09],[358.]
[1.7261803e+09],[379.]
[1.7261803e+09],[381.]
[1.7261803e+09],[374.]
[1.7261803e+09],[349.]
[1.7261803e+09],[298.]
[1.7261803e+09],[239.]
[1.7261803e+09],[163.]
[1.7261803e+09],[62.]
[1.7261803e+09],[-59.]
[1.7261803e+09],[-179.]
[1.7261803e+09],[-248.]
[1.7261803e+09],[-266.]
[1.7261803e+09],[-278.]
[1.7261803e+09],[-289.]
[1.7261803e+09],[-285.]
[1.7261803e+09],[-268.]
[1.7261803e+09],[-250.]
[1.7261803e+09],[-239.]
[1.7261803e+09],[-223.]
[1.7261803e+09],[-197.]
[1.7261803e+09],[-181.]
[1.7261803e+09],[-177.]
[1.7261803e+09],[-158.]
[1.7261803e+09],[-137.]
[1.7261803e+09],[-128.]
[1.7261803e+09],[-124.]
[1.7261803e+09],[-144.]
[1.7261803e+09],[-172.]
[1.7261803e+09],[-154.]
[1.7261803e+09],[-126.]
[1.7261803e+09],[-114.]
[1.7261803e+09],[-110.]
[1.7261803e+09],[-117.]
[1.7261803e+09],[-119.]
[1.7261803e+09],[-108.]
[1.7261803e+09],[-103.]
[1.7261803e+09],[-108.]
[1.7261803e+09],[-112.]
[1.7261803e+09],[-117.]
[1.7261803e+09],[-112.]
[1.7261803e+09],[-96.]
[1.7261803e+09],[-94.]
[1.7261803e+09],[-117.]
[1.7261803e+09],[-144.]
[1.7261803e+09],[-167.]
[1.7261803e+09],[-165.]
[1.7261803e+09],[-140.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-147.]
[1.7261803e+09],[-186.]
[1.7261803e+09],[-179.]
[1.7261803e+09],[-137.]
[1.7261803e+09],[-128.]
[1.7261803e+09],[-131.]
[1.7261803e+09],[-126.]
[1.7261803e+09],[-124.]
[1.7261803e+09],[-103.]
[1.7261803e+09],[-87.]
[1.7261803e+09],[-91.]
[1.7261803e+09],[-89.]
[1.7261803e+09],[-75.]
[1.7261803e+09],[-73.]
[1.7261803e+09],[-75.]
[1.7261803e+09],[-64.]
[1.7261803e+09],[-59.]
[1.7261803e+09],[-68.]
[1.7261803e+09],[-68.]
[1.7261803e+09],[-62.]
[1.7261803e+09],[-59.]
[1.7261803e+09],[-62.]
[1.7261803e+09],[-52.]
[1.7261803e+09],[-43.]
[1.7261803e+09],[-66.]
[1.7261803e+09],[-91.]
[1.7261803e+09],[-68.]
[1.7261803e+09],[-45.]
[1.7261803e+09],[-50.]
[1.7261803e+09],[-48.]
[1.7261803e+09],[-43.]
[1.7261803e+09],[-62.]
[1.7261803e+09],[-80.]
[1.7261803e+09],[-75.]
[1.7261803e+09],[-66.]
[1.7261803e+09],[-57.]
[1.7261803e+09],[-55.]
[1.7261803e+09],[-64.]
[1.7261803e+09],[-66.]
[1.7261803e+09],[-48.]
[1.7261803e+09],[-39.]
[1.7261803e+09],[-43.]
[1.7261803e+09],[-52.]
[1.7261803e+09],[-50.]
[1.7261803e+09],[-36.]
[1.7261803e+09],[-27.]
[1.7261803e+09],[-6.]
[1.7261803e+09],[114.]
[1.7261803e+09],[420.]
[1.7261803e+09],[816.]
[1.7261803e+09],[1011.]
[1.7261803e+09],[659.]
[1.7261803e+09],[-328.]
[1.7261803e+09],[-1004.]
[1.7261803e+09],[-583.]
[1.7261803e+09],[-50.]
[1.7261803e+09],[-105.]
[1.7261803e+09],[-147.]
[1.7261803e+09],[-34.]
