1726180626360,0.9219177
1726180632954,0.9844205
1726180634907,0.9687951
1726180637751,0.9375434
1726180642501,0.9531691
1726180644439,0.9687948
1726180647236,0.9375434
1726180649080,0.8906662
1726180664627,0.9531691
1726180666409,0.8906662
1726180689785,0.9062919
1726180691675,0.9375434
1726180694566,0.9844205
1726180696488,0.9375434
1726180698394,0.9531691
1726180700238,0.9062919
1726180705957,0.9687948
1726180724927,0.9844205
1726180725958,1.031298
1726180727005,1.046924
1726180732943,0.9375434
1726180737365,0.8750405
1726180749209,0.9844205
